Isla,España,Extranjero,year,month
Mallorca,5.8,9.1,2021,12
Menorca,4.6,10.1,2021,12
Ibiza_Formentera,5.9,12.5,2021,12
Mallorca,4.8,8.1,2021,11
Menorca,6.0,6.4,2021,11
Ibiza_Formentera,8.4,9.9,2021,11
Mallorca,5.4,7.4,2021,10
Menorca,6.0,6.5,2021,10
Ibiza_Formentera,7.4,5.9,2021,10
Mallorca,10.4,7.4,2021,09
Menorca,7.1,6.6,2021,09
Ibiza_Formentera,7.1,6.5,2021,09
Mallorca,7.8,7.4,2021,08
Menorca,9.0,7.8,2021,08
Ibiza_Formentera,6.8,6.5,2021,08
Mallorca,6.9,7.1,2021,07
Menorca,6.9,7.3,2021,07
Ibiza_Formentera,6.1,5.9,2021,07
Mallorca,5.5,6.8,2021,06
Menorca,6.1,7.4,2021,06
Ibiza_Formentera,6.1,8.0,2021,06
Mallorca,5.3,7.3,2021,05
Menorca,6.1,7.7,2021,05
Ibiza_Formentera,6.5,6.8,2021,05
Mallorca,8.6,8.1,2021,04
Menorca,7.0,,2021,04
Ibiza_Formentera,6.9,7.9,2021,04
Mallorca,8.2,8.6,2021,03
Menorca,7.4,,2021,03
Ibiza_Formentera,4.9,7.8,2021,03
Mallorca,7.8,10.0,2021,02
Menorca,8.6,,2021,02
Ibiza_Formentera,11.8,10.0,2021,02
Mallorca,11.6,10.9,2021,01
Menorca,9.9,,2021,01
Ibiza_Formentera,12.2,10.1,2021,01
Mallorca,6.9,10.6,2020,12
Menorca,9.4,,2020,12
Ibiza_Formentera,7.6,6.8,2020,12
Mallorca,7.8,10.1,2020,11
Menorca,9.3,,2020,11
Ibiza_Formentera,7.0,9.5,2020,11
Mallorca,6.5,9.2,2020,10
Menorca,8.9,9.5,2020,10
Ibiza_Formentera,7.3,8.8,2020,10
Mallorca,11.6,8.8,2020,09
Menorca,10.2,9.1,2020,09
Ibiza_Formentera,6.4,5.7,2020,09
Mallorca,8.6,8.5,2020,08
Menorca,10.1,9.5,2020,08
Ibiza_Formentera,6.1,5.4,2020,08
Mallorca,7.1,8.0,2020,07
Menorca,7.2,7.7,2020,07
Ibiza_Formentera,7.0,6.2,2020,07
Mallorca,8.1,8.3,2020,06
Menorca,,,2020,06
Ibiza_Formentera,,,2020,06
Mallorca,,,2020,05
Menorca,,,2020,05
Ibiza_Formentera,,,2020,05
Mallorca,,,2020,04
Menorca,,,2020,04
Ibiza_Formentera,,,2020,04
Mallorca,3.6,5.7,2020,03
Menorca,6.6,8.3,2020,03
Ibiza_Formentera,5.9,4.6,2020,03
Mallorca,4.5,7.0,2020,02
Menorca,6.1,,2020,02
Ibiza_Formentera,2.8,6.3,2020,02
Mallorca,7.3,8.1,2020,01
Menorca,6.7,9.1,2020,01
Ibiza_Formentera,6.9,5.4,2020,01
Mallorca,5.6,7.8,2019,12
Menorca,6.1,10.7,2019,12
Ibiza_Formentera,5.8,13.9,2019,12
Mallorca,4.6,8.1,2019,11
Menorca,5.3,6.9,2019,11
Ibiza_Formentera,4.7,7.9,2019,11
Mallorca,5.7,7.0,2019,10
Menorca,8.0,7.5,2019,10
Ibiza_Formentera,8.0,6.4,2019,10
Mallorca,8.4,6.4,2019,09
Menorca,8.1,8.1,2019,09
Ibiza_Formentera,6.3,6.2,2019,09
Mallorca,8.5,7.5,2019,08
Menorca,8.9,7.5,2019,08
Ibiza_Formentera,7.3,6.9,2019,08
Mallorca,5.7,7.2,2019,07
Menorca,7.1,8.2,2019,07
Ibiza_Formentera,6.2,6.9,2019,07
Mallorca,5.7,6.5,2019,06
Menorca,5.9,7.7,2019,06
Ibiza_Formentera,5.7,6.1,2019,06
Mallorca,5.5,5.5,2019,05
Menorca,4.4,6.5,2019,05
Ibiza_Formentera,6.2,5.6,2019,05
Mallorca,5.9,6.2,2019,04
Menorca,5.0,8.0,2019,04
Ibiza_Formentera,4.7,4.8,2019,04
Mallorca,5.2,5.9,2019,03
Menorca,4.8,7.3,2019,03
Ibiza_Formentera,5.3,5.7,2019,03
Mallorca,4.5,6.2,2019,02
Menorca,5.4,,2019,02
Ibiza_Formentera,5.5,6.0,2019,02
Mallorca,6.5,7.7,2019,01
Menorca,5.1,,2019,01
Ibiza_Formentera,7.1,6.7,2019,01
Mallorca,,,2018,12
Menorca,,,2018,12
Ibiza_Formentera,,,2018,12
Mallorca,5.4,8.1,2018,11
Menorca,7.5,13.4,2018,11
Ibiza_Formentera,5.7,7.6,2018,11
Mallorca,4.8,7.5,2018,10
Menorca,6.6,8.1,2018,10
Ibiza_Formentera,8.6,6.5,2018,10
Mallorca,7.0,6.9,2018,09
Menorca,8.0,7.4,2018,09
Ibiza_Formentera,8.0,7.1,2018,09
Mallorca,8.4,7.7,2018,08
Menorca,8.4,8.3,2018,08
Ibiza_Formentera,8.4,6.4,2018,08
Mallorca,6.8,6.7,2018,07
Menorca,7.5,8.0,2018,07
Ibiza_Formentera,6.1,6.0,2018,07
Mallorca,5.2,6.5,2018,06
Menorca,5.1,8.1,2018,06
Ibiza_Formentera,4.9,5.8,2018,06
Mallorca,4.3,6.2,2018,05
Menorca,4.5,6.9,2018,05
Ibiza_Formentera,4.4,5.2,2018,05
Mallorca,6.0,6.2,2018,04
Menorca,5.2,5.9,2018,04
Ibiza_Formentera,4.5,4.6,2018,04
Mallorca,5.0,6.8,2018,03
Menorca,4.5,17.8,2018,03
Ibiza_Formentera,5.1,6.7,2018,03
Mallorca,4.6,7.7,2018,02
Menorca,4.7,,2018,02
Ibiza_Formentera,6.7,9.8,2018,02
Mallorca,6.0,8.6,2018,01
Menorca,6.3,,2018,01
Ibiza_Formentera,5.1,6.7,2018,01
Mallorca,5.4,9.1,2017,12
Menorca,6.5,,2017,12
Ibiza_Formentera,6.4,13.3,2017,12
Mallorca,4.1,8.1,2017,11
Menorca,7.8,,2017,11
Ibiza_Formentera,8.6,10.2,2017,11
Mallorca,5.3,7.9,2017,10
Menorca,7.0,9.1,2017,10
Ibiza_Formentera,8.7,8.8,2017,10
Mallorca,8.1,7.7,2017,09
Menorca,7.7,7.5,2017,09
Ibiza_Formentera,5.4,5.8,2017,09
Mallorca,8.5,8.8,2017,08
Menorca,7.6,8.5,2017,08
Ibiza_Formentera,7.3,6.0,2017,08
Mallorca,6.4,7.9,2017,07
Menorca,7.5,7.9,2017,07
Ibiza_Formentera,6.5,5.8,2017,07
Mallorca,4.9,7.3,2017,06
Menorca,5.6,7.6,2017,06
Ibiza_Formentera,4.8,5.7,2017,06
Mallorca,4.6,6.5,2017,05
Menorca,5.8,6.6,2017,05
Ibiza_Formentera,5.7,5.7,2017,05
Mallorca,5.4,6.7,2017,04
Menorca,6.0,6.9,2017,04
Ibiza_Formentera,5.7,5.5,2017,04
Mallorca,5.0,6.6,2017,03
Menorca,5.7,14.0,2017,03
Ibiza_Formentera,7.0,6.5,2017,03
Mallorca,4.4,6.8,2017,02
Menorca,5.7,7.6,2017,02
Ibiza_Formentera,6.6,9.6,2017,02
Mallorca,5.2,8.5,2017,01
Menorca,6.8,6.9,2017,01
Ibiza_Formentera,6.6,7.7,2017,01
Mallorca,5.3,10.8,2016,12
Menorca,6.9,,2016,12
Ibiza_Formentera,7.5,8.1,2016,12
Mallorca,5.1,6.6,2016,11
Menorca,6.0,9.1,2016,11
Ibiza_Formentera,8.2,9.1,2016,11
Mallorca,5.8,8.3,2016,10
Menorca,7.0,7.9,2016,10
Ibiza_Formentera,9.6,6.2,2016,10
Mallorca,7.6,7.6,2016,09
Menorca,8.1,8.1,2016,09
Ibiza_Formentera,6.2,5.9,2016,09
Mallorca,8.1,8.3,2016,08
Menorca,9.5,8.5,2016,08
Ibiza_Formentera,7.2,6.5,2016,08
Mallorca,6.4,7.7,2016,07
Menorca,7.0,7.6,2016,07
Ibiza_Formentera,6.0,5.9,2016,07
Mallorca,5.5,7.3,2016,06
Menorca,6.3,7.4,2016,06
Ibiza_Formentera,4.6,5.9,2016,06
Mallorca,6.1,6.6,2016,05
Menorca,4.9,6.8,2016,05
Ibiza_Formentera,4.9,5.4,2016,05
Mallorca,5.2,6.8,2016,04
Menorca,7.1,8.5,2016,04
Ibiza_Formentera,6.7,5.6,2016,04
Mallorca,5.0,7.0,2016,03
Menorca,5.8,6.8,2016,03
Ibiza_Formentera,6.3,6.8,2016,03
Mallorca,4.5,7.7,2016,02
Menorca,5.1,,2016,02
Ibiza_Formentera,5.9,9.9,2016,02
Mallorca,7.6,8.7,2016,01
Menorca,7.0,,2016,01
Ibiza_Formentera,8.3,9.3,2016,01
Mallorca,7.0,9.6,2015,12
Menorca,4.9,,2015,12
Ibiza_Formentera,6.4,9.4,2015,12
Mallorca,5.7,10.3,2015,11
Menorca,6.1,7.2,2015,11
Ibiza_Formentera,6.5,7.6,2015,11
Mallorca,5.6,8.2,2015,10
Menorca,8.2,8.5,2015,10
Ibiza_Formentera,7.3,7.7,2015,10
